date,open,high,low,close,open_usd,high_usd,low_usd,close_usd,volume,market cap
2018-11-10,4628.68439020,4668.74203900,4622.20278000,4638.10038900,6419.99000000,6475.55000000,6411.00000000,6433.05000000,7714.82992600,7714.82992600
2018-11-11,4639.62165680,4659.07369720,4581.82790000,4650.18401380,6435.16000000,6462.14000000,6355.00000000,6449.81000000,8213.50711700,8213.50711700
2018-11-12,4650.83289580,4684.20706000,4629.41258000,4652.53440860,6450.71000000,6497.00000000,6421.00000000,6453.07000000,10132.78256700,10132.78256700
2018-11-13,4651.53224640,4684.92804000,4607.89132700,4655.84370680,6451.68000000,6498.00000000,6391.15000000,6457.66000000,11790.56493300,11790.56493300
2018-11-14,4656.79540040,4673.99798320,4078.49013260,4269.93916180,6458.98000000,6482.84000000,5656.87000000,5922.41000000,46478.96400300,46478.96400300
2018-11-15,4266.18285600,4282.28954920,3895.75775160,4148.08633200,5917.20000000,5939.54000000,5403.42000000,5753.40000000,47700.82940100,47700.82940100
2018-11-16,4150.74674820,4169.34803220,4000.89826500,4077.81962120,5757.09000000,5782.89000000,5549.25000000,5655.94000000,38721.80227400,38721.80227400
2018-11-17,4073.94795860,4078.29546800,4012.56372140,4057.88452420,5650.57000000,5656.60000000,5565.43000000,5628.29000000,26411.24141300,26411.24141300
2018-11-18,4059.47068020,4137.10580660,4049.74466000,4082.18876000,5630.49000000,5738.17000000,5617.00000000,5662.00000000,23844.99934700,23844.99934700
2018-11-19,4082.14550120,4083.63072000,3500.35790000,3540.03342940,5661.94000000,5664.00000000,4855.00000000,4910.03000000,70580.89285600,70580.89285600
2018-11-20,3542.46313200,3639.68007520,3118.95948000,3286.84688280,4913.40000000,5048.24000000,4326.00000000,4558.86000000,117380.95159000,117380.95159000
2018-11-21,3287.60391180,3451.47545600,3182.29757300,3360.53824860,4559.91000000,4787.20000000,4413.85000000,4661.07000000,61071.82947500,61071.82947500
2018-11-22,3360.54545840,3404.30173460,3125.44830000,3150.68260000,4661.08000000,4721.77000000,4335.00000000,4370.00000000,34531.11914300,34531.11914300
2018-11-23,3151.33148200,3232.87432000,3044.65528120,3187.17139780,4370.90000000,4484.00000000,4222.94000000,4420.61000000,49371.92032200,49371.92032200
2018-11-24,3183.58091740,3263.87646000,2757.52499620,2835.21059120,4415.63000000,4527.00000000,3824.69000000,3932.44000000,61693.11100600,61693.11100600
2018-11-25,2836.10460640,3051.90834000,2633.49480680,2945.76566440,3933.68000000,4233.00000000,3652.66000000,4085.78000000,101693.97558800,101693.97558800
2018-11-26,2947.86371620,3032.44188000,2668.34698000,2784.56895600,4088.69000000,4206.00000000,3701.00000000,3862.20000000,94503.75076700,94503.75076700
2018-11-27,2786.19116100,2840.66120000,2659.78173760,2793.94890580,3864.45000000,3940.00000000,3689.12000000,3875.21000000,67480.60721200,67480.60721200
2018-11-28,2794.25171740,3168.32498060,2793.27118460,3074.87155300,3875.63000000,4394.47000000,3874.27000000,4264.85000000,91983.56794900,91983.56794900
2018-11-29,3072.86001880,3208.63497240,2974.51113700,3097.21472320,4262.06000000,4450.38000000,4125.65000000,4295.84000000,73980.19866900,73980.19866900
2018-11-30,3097.12820560,3130.03373280,2842.82414000,2913.71089360,4295.72000000,4341.36000000,3943.00000000,4041.32000000,67758.44628300,67758.44628300
2018-12-01,2913.67484460,3100.20679020,2857.25094980,3020.92061960,4041.27000000,4299.99000000,3963.01000000,4190.02000000,44840.07348100,44840.07348100
2018-12-02,3021.61276040,3109.57953020,2958.20977920,3000.00498980,4190.98000000,4312.99000000,4103.04000000,4161.01000000,38912.15479000,38912.15479000
2018-12-03,2999.67333900,3012.97542000,2759.19046000,2800.29352980,4160.55000000,4179.00000000,3827.00000000,3884.01000000,49094.36916300,49094.36916300
2018-12-04,2800.83426480,2945.20330000,2726.02538000,2849.05340720,3884.76000000,4085.00000000,3781.00000000,3951.64000000,48489.55161300,48489.55161300
2018-12-05,2848.57756040,2862.29060000,2700.07010000,2717.97924320,3950.98000000,3970.00000000,3745.00000000,3769.84000000,44004.79944800,44004.79944800
2018-12-06,2716.96987120,2811.81479020,2523.43000000,2529.73857500,3768.44000000,3899.99000000,3500.00000000,3508.75000000,68378.79694300,68378.79694300
2018-12-07,2529.73857500,2559.47179020,2324.87210800,2453.89147900,3508.75000000,3549.99000000,3224.60000000,3403.55000000,95145.45744200,95145.45744200
2018-12-08,2453.90589860,2519.82510000,2322.99756000,2459.21231140,3403.57000000,3495.00000000,3222.00000000,3410.93000000,55365.94994900,55365.94994900
2018-12-09,2459.52233280,2637.34484000,2447.03495920,2556.14086260,3411.36000000,3658.00000000,3394.04000000,3545.37000000,45956.89329600,45956.89329600
2018-12-10,2558.39032020,2602.73780000,2429.78190780,2475.03782240,3548.49000000,3610.00000000,3370.11000000,3432.88000000,40989.24455300,40989.24455300
2018-12-11,2475.85252980,2509.01040000,2396.76823360,2437.19358220,3434.01000000,3480.00000000,3324.32000000,3380.39000000,35920.86415400,35920.86415400
2018-12-12,2436.35724540,2517.66216000,2415.28300000,2483.77610000,3379.23000000,3492.00000000,3350.00000000,3445.00000000,33922.93128600,33922.93128600
2018-12-13,2484.77105240,2494.59080000,2347.15039000,2380.71921880,3446.38000000,3460.00000000,3255.50000000,3302.06000000,40040.91701300,40040.91701300
2018-12-14,2380.71921880,2404.74948220,2290.55346000,2324.56208660,3302.06000000,3335.39000000,3177.00000000,3224.17000000,44492.98380700,44492.98380700
2018-12-15,2325.29748620,2362.29097000,2275.60033480,2315.58588560,3225.19000000,3276.50000000,3156.26000000,3211.72000000,29796.04143600,29796.04143600
2018-12-16,2315.57867580,2374.90812000,2297.04228000,2327.80649660,3211.71000000,3294.00000000,3186.00000000,3228.67000000,24628.80853800,24628.80853800
2018-12-17,2328.20303560,2584.71330000,2318.67168000,2529.97649840,3229.22000000,3585.00000000,3216.00000000,3509.08000000,66761.75169700,66761.75169700
2018-12-18,2529.94044940,2652.18981820,2468.97438060,2633.72552040,3509.03000000,3678.59000000,3424.47000000,3652.98000000,61369.61525700,61369.61525700
2018-12-19,2633.73994000,2821.00007540,2611.78609900,2640.38737560,3653.00000000,3912.73000000,3622.55000000,3662.22000000,94137.34101400,94137.34101400
2018-12-20,2638.79400980,2970.43760000,2620.76230000,2919.69502760,3660.01000000,4120.00000000,3635.00000000,4049.62000000,101543.83598600,101543.83598600
2018-12-21,2921.31002280,2984.84999020,2713.76872000,2767.59708680,4051.86000000,4139.99000000,3764.00000000,3838.66000000,82343.85011200,82343.85011200
2018-12-22,2768.74344500,2868.77942000,2728.90930000,2847.08513180,3840.25000000,3979.00000000,3785.00000000,3948.91000000,42822.35087200,42822.35087200
